InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID
536365,85123A,6,2025-08-15 08:26:00,2.55,1001
536366,71053,12,2025-08-20 09:15:00,3.39,1001
536367,22633,24,2025-09-01 11:30:00,1.85,1001
536368,22728,2,2025-09-10 14:00:00,3.75,1002
536369,22726,1,2025-09-11 10:00:00,3.75,1002
536370,22960,3,2024-12-05 08:35:00,4.25,1003
536371,21756,10,2025-01-10 09:00:00,5.95,1003
536372,22727,20,2025-02-15 09:02:00,3.75,1003
536373,21730,5,2025-03-20 12:00:00,4.25,1004
536374,22632,2,2025-04-25 13:45:00,1.85,1004
536375,84879,3,2025-08-01 09:27:00,1.69,1005
536376,22423,1,2025-08-05 09:32:00,12.75,1005
536377,22720,4,2025-09-02 10:00:00,3.75,1006
536378,21731,1,2025-09-08 11:10:00,1.65,1006
536379,21523,2,2025-02-15 14:30:00,2.95,1007
536380,22969,15,2025-03-01 15:00:00,1.45,1007
536381,22961,1,2024-10-10 10:03:00,4.25,1008
536382,22554,1,2024-11-15 10:06:00,1.65,1008
536383,20679,40,2025-09-05 10:07:00,4.95,1009
536384,22629,30,2025-09-07 10:07:00,0.85,1009
536385,85123A,5,2025-07-20 11:00:00,2.55,1010
536386,71053,8,2025-08-01 12:00:00,3.39,1010
536387,22633,2,2025-08-10 13:00:00,1.85,1010
536388,22728,1,2025-09-12 08:00:00,3.75,1011
536389,22960,18,2025-04-10 09:30:00,4.25,1012
536390,21756,15,2025-05-15 10:45:00,5.95,1012
536391,22727,1,2025-09-09 14:00:00,3.75,1013
536392,21730,1,2025-09-10 15:00:00,4.25,1014
